Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
629,LANu,Lancaster Gate,526733.4605,180791.567,51.51185,-0.1751145
853,LAPd,Langdon Park,537893.9141,181462.6523,51.515268,-0.014117053
3171,LNYr,Langley,501292.6819,179777.4582,51.507855,-0.54186358
630,LATu,Latimer Road,523767.5722,180899.7502,51.513477,-0.21778108
6927,LEBr,Lea Bridge,536142.6192,187152.6829,51.566824,-0.037136813
9477,LEBt,Lebanon Road,533401.7315,165757.5305,51.375213,-0.084728794
5110,LEEr,Lee,540080.4463,174224.0895,51.449682,0.01449712
631,LSQu,Leicester Square,529984.982,180831.2229,51.511462,-0.12826395
940,LEWd,Lewisham DLR,538122.7835,175873.8706,51.464989,-0.013003861
5051,LEWr,Lewisham NR,538051.7888,175943.7444,51.465636,-0.013997988
632,LEYu,Leyton,538391.3922,186100.4025,51.556815,-0.005138038
7402,LEMr,Leyton Midland Road,538221.8989,187498.3534,51.569419,-0.007025008
633,LYSu,Leytonstone,539307.838,187459.1816,51.568801,0.008618837
7403,LERr,Leytonstone High Road,539318.7225,186872.5344,51.563533,0.008545358
862,LIMd,Limehouse DLR,536143.9081,181091.0973,51.51235,-0.039464941
7491,LHSr,Limehouse NR,536171.5425,181149.7155,51.512873,-0.039038927
634,LSTu,Liverpool Street LU,533151.3993,181604.939,51.517681,-0.082375854
6965,LSTr,Liverpool Street NR,533191.7342,181646.3349,51.51804,-0.081769824
9478,LPKt,Lloyd Park,533722.6769,164541.5921,51.36421,-0.080576634
635,LONu,London Bridge LU,532943.8222,180191.9136,51.505032,-0.085889734
5148,LBGr,London Bridge NR,532943.8222,180191.9136,51.505032,-0.085889734
533,LCAd,London City Airport,542269.3169,180284.4824,51.50359,0.048415817
6966,LOFr,London Fields,534787.9634,184256.0629,51.541116,-0.057783723
5082,LGJr,Loughborough Junction,531925.527,175843.3902,51.466188,-0.10217217
636,LTNu,Loughton,542316.5525,195602.1886,51.641219,0.05530656
5053,LSYr,Lower Sydenham,536831.0526,171341.0427,51.424568,-0.033342299
3645,LTNr,Luton Airport Parkway,510515.2404,220579.1301,51.872844,-0.39612796
637,MDVu,Maida Vale,525942.7266,182768.9244,51.529793,-0.18578666
3147,MAIr,Maidenhead,488724.0573,180705.0486,51.518308,-0.72268496
5599,MALr,Malden Manor,521092.0173,166509.6355,51.384728,-0.26124525
638,MNRu,Manor House,532025.8826,187433.32,51.570318,-0.096395553
6883,MNPr,Manor Park,541883.3063,185682.8459,51.552201,0.045031021
639,MANu,Mansion House,532276.4422,180937.9951,51.511893,-0.095229192
640,MARu,Marble Arch,527898.5545,180997.5898,51.513439,-0.15824656
6970,MYLr,Maryland,539190.5095,184924.2597,51.546051,0.00592924
641,MYBu,Marylebone LU,527509.6097,181967.1734,51.522235,-0.16349907
1475,MYBr,Marylebone NR,527510.6141,182193.497,51.524265,-0.16340295
5149,MZHr,Maze Hill,539217.9496,177864.7992,51.482612,0.003532978
6599,MRWr,Meridian Water,535109.7665,191933.9903,51.610035,-0.050192853
5475,MHMr,Merstham,529166.1625,153293.0821,51.264168,-0.15006738
9479,MPKt,Merton Park,525195.5771,169825.9845,51.41364,-0.20113094
642,MLEu,Mile End,536523.5802,182546.5538,51.525342,-0.033428806
1527,MILr,Mill Hill Broadway,521346.65,191875.8218,51.612645,-0.24886691
643,MHEu,Mill Hill East,524039.8432,191454.9379,51.608275,-0.21014284
9480,MTMt,Mitcham,527325.3636,168086.534,51.397538,-0.17115718
5069,MTCr,Mitcham Eastfields,528430.2401,169211.5778,51.407399,-0.15487532
5427,MIJr,Mitcham Junction,528268.5637,167599.5814,51.392949,-0.15777101
9481,MTJt,Mitcham Junction Trams,528293.704,167571.4939,51.392682,-0.15742235
646,MPKu,Moor Park,508615.6408,193493.3652,51.629776,-0.43215255
645,MGTu,Moorgate,532685.4274,181656.3007,51.518249,-0.089068795
647,MORu,Morden,525669.1524,168627.2009,51.40276,-0.19475749
9482,MRDt,Morden Road,525794.1668,169307.8167,51.408852,-0.19272016
5291,MDSr,Morden South,525376.5712,167831.8245,51.395679,-0.1992337
648,MCRu,Mornington Crescent,529239.1075,183326.6562,51.534064,-0.13809325
5600,MTLr,Mortlake,520476.5189,175768.4324,51.468065,-0.26693365
5645,MOTr,Motspur Park,522570.5079,167674.2842,51.394872,-0.23960065
5118,MTGr,Mottingham,542573.4853,173243.7134,51.440254,0.049954911
857,MUDd,Mudchute,537910.3698,178820.5156,51.491523,-0.014918661
649,NEAu,Neasden,521371.8244,185388.5296,51.55434,-0.25074633
9484,NADt,New Addington,538182.1837,162263.5167,51.342673,-0.017451574
6018,NBAr,New Barnet,526505.2528,196023.6553,51.648787,-0.17291625
5058,NBCr,New Beckenham,536724.1179,170489.203,51.416938,-0.035208698
5150,NWXr,New Cross,536726.224,177102.8202,51.476372,-0.03262688
5345,NXGr,New Cross Gate,536203.0053,176939.927,51.475034,-0.040215775
